,品目,,出し方,出し方のポイント等
し,照明器具,,粗大ごみ,電球等は外す。金属製で30㎝未満のものは小さな金属類へ。木製・プラスチック製で50㎝未満のものは燃やすごみへ。ガラス製で50㎝未満のものは燃えないごみへ。
し,しょうゆ加工品(めんつゆ、だし醤油など)の入っていたペットボトル,,缶・びん・ペットボトル,ペットボトルマークを確認。プラマークのものはプラスチック製容器包装へ
し,醤油さし(ガラス・陶器製),,燃えないごみ,プラスチック製のものは燃やすごみへ。
し,しょうゆの入っていたペットボトル,,缶・びん・ペットボトル,ペットボトルマークを確認
し,食卓カバー,,燃やすごみ,50cm以上のものは粗大ごみへ
し,食品残渣(生ごみなど),,燃やすごみ,可能な範囲で水気を切って
し,食品の紙容器(油汚れがついているもの),,燃やすごみ,
し,食品の個別包装紙,,燃やすごみ,油を含んだ紙や汚れた紙、においのついた紙など。きれいな紙は古紙へ。
し,食品包装(プラスチック製),,プラスチック製容器包装,個包装・小包装も対象
し,食品容器(プラスチック製),,プラスチック製容器包装,
し,食品用装飾品(プラスチック製),,燃やすごみ,
し,植物の実・種,,燃やすごみ,
し,食用油,,燃やすごみ,油を紙などに染み込ませるか固めて ボトルはプラスチック製容器包装へ
し,食用油の缶・びん,,缶・びん・ペットボトル,中身を使い切って
し,食用油のプラスチックボトルのキャップ,,プラスチック製容器包装,
し,食用油のプラスチックボトルの外包装,,プラスチック製容器包装,
し,食用油のプラスチックボトルのラベル,,プラスチック製容器包装,
し,食用油のプラスチックボトルのラベル(紙製),,古紙(雑誌・その他の紙）,
し,食用油のボトル(プラスチック製),,プラスチック製容器包装,
し,食品保存用の袋,,燃やすごみ,
し,書籍,,古紙(雑誌・その他の紙）,
し,食器洗い乾燥機,,粗大ごみ,
し,食器(金属製),,小さな金属類,30cm以上のものは粗大ごみへ アルミはくの皿は燃やすごみへ
し,食器棚シート,,燃やすごみ,
し,食器(陶器・ガラス製),,燃えないごみ,
し,食器(プラスチック製),,燃やすごみ,
し,ショックアブソーバー(自動車),,粗大ごみ,30cm未満のものは小さな金属類へ
し,ショッパー(ビニール製),,プラスチック製容器包装,
し,ショッパー(紙製),,古紙(雑誌・その他の紙）,ビニール製などのひもは取り除く
し,ショッパー(布製),,燃やすごみ,
し,書道下敷き,,燃やすごみ,
し,書道箱,,燃やすごみ,
し,書類,,古紙(雑誌・その他の紙）,
し,シリコン製品,,燃やすごみ,50cm以上のものは粗大ごみへ
し,シリコン製ブラジャー,,燃やすごみ,
し,シリコンナイフ,,燃やすごみ,
し,シリコンマット,,燃やすごみ,
し,シルバーカー,,粗大ごみ,
し,シルバーカート,,粗大ごみ,
し,シルバークリーナー(びん),,燃えないごみ,
し,シルバークリーナー(プラスチック製),,プラスチック製容器包装,
し,真空管,,燃えないごみ,
し,真空パック機,,燃やすごみ,
し,シンクマット,,燃やすごみ,
し,診察券,,燃やすごみ,紙製のものは古紙(雑誌・その他の紙)へ
し,身長計,,粗大ごみ,
し,シンバルスタンド,,粗大ごみ,
し,新聞,,古紙（新聞）,折込ちらしも一緒に
し,新聞ストッカー,,燃やすごみ,
し,シーツ,,古布,洗濯して乾かしてから。綿が入っているものは燃やすごみへ
し,CD付き雑誌,,古紙(雑誌・その他の紙）,CDは燃やすごみへ
し,CDプレーヤー,,粗大ごみ,プラスチック製で50㎝未満のものは燃やすごみへ(充電式のものの充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。)。 金属製で30㎝未満のものは小さな金属類へ。
し,CD・DVDディスクの包装フィルム,,プラスチック製容器包装,
し,CD等(ケースも含む),,燃やすごみ,紙製のジャケットは古紙(雑誌・その他の紙)へ
し,シートカバー,,燃やすごみ,
し,シートベルト,,燃やすごみ,
し,シーラー(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
し,シーラー(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
し,シーリングファン,,粗大ごみ,
し,シール,,燃やすごみ,台紙は古紙(雑誌・その他の紙)へ
し,シールの台紙,,古紙(雑誌・その他の紙）,
し,ジェリーボール,,燃やすごみ,
し,ジェルパッド,,燃やすごみ,
し,地下足袋,,燃やすごみ,
し,磁気カード,,燃やすごみ,
し,磁気ガード用金属シート,,小さな金属類,アルミ製のものは燃やすごみへ
し,磁気ネックレス,,燃やすごみ,
し,磁気マット,,粗大ごみ,
し,字消し板,,小さな金属類,プラスチック製のものは燃やすごみへ
し,磁石,,燃えないごみ,
し,磁石入絆創膏,,燃やすごみ,
し,ジッパー,,小さな金属類,プラスチック製のものは燃やすごみへ
し,自転車,,粗大ごみ,
し,自転車キャリア(車用),,粗大ごみ,プラスチック製で50cm未満のものは燃やすごみへ。金属製で30㎝未満のものは小さな金属類へ
し,自転車充電器,,燃やすごみ,
し,自転車スタンド,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ 金属製以外のもので50㎝未満のものは燃やすごみへ
し,自転車荷台,,小さな金属類,30cm以上のものは粗大ごみへ
し,自転車・バイクのアクセサリー(金属製以外),,燃やすごみ,
し,自転車のカバー,,燃やすごみ,
し,自転車のサドル,,小さな金属類,シートポストと分離した樹脂製のサドルは燃やすごみへ
し,自転車の車輪,,粗大ごみ,プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものはゴム部分(燃やすごみへ)を外して小さな金属類へ
し,自転車のチェーン,,小さな金属類,
し,自転車・バイクのアクセサリー/パーツ(金属製),,小さな金属類,30㎝以上のものは粗大ごみヘ。バイク本体などは販売店へ相談
し,自転車のフレーム,,粗大ごみ,30cm未満のものは小さな金属類へ
し,自転車のベル,,小さな金属類,プラスチック製のものは燃やすごみへ
し,自転車の補助輪,,小さな金属類,30cm以上のものは粗大ごみへ
し,自転車のライト,,燃やすごみ,
し,自転車・バイクのカゴ,,小さな金属類,30cm以上のものは粗大ごみへ。 木製、プラスチック製のものは50㎝未満は燃やすごみ、50㎝以上は粗大ごみへ
し,自転車補助椅子(金属製),,粗大ごみ,金属製で30cm未満のものは小さな金属類へ
し,自転車補助椅子(プラスチック製),,粗大ごみ,50cm未満のものは燃やすごみへ
し,自転車用バッテリー,,販売店か回収協力店または収集事務所,回収協力店は 一般社団法人JBRCのホームページ で検索するか、 収集事務所 にご相談ください。※収集車の火災の原因となるため、集積場所に出さないでください。
し,自転車用変速機,,燃やすごみ,金属製のものは小さな金属類へ
し,自動車プラグ,,小さな金属類,
し,自動車用カバー,,燃やすごみ,折りたたんで50㎝以上のものは粗大ごみへ
し,自撮り棒,,小さな金属類,30㎝以上のものは粗大ごみヘ。プラスチック製のものは燃やすごみへ。
し,蛇口・水栓(自分で取り外したもののみ),,小さな金属類,請負工事に伴い取り外したものは業者に処分を依頼する。
し,ジャケット,,古布,汚れ等を落としてから。綿入りのものや革製のものは燃やすごみへ
し,ジャッキ,,小さな金属類,30cm以上のものは粗大ごみへ
し,ジャッキスタンド,,小さな金属類,30㎝以上のものは粗大ごみへ
し,ジャムの紙容器,,燃やすごみ,
し,砂利,,燃えないごみ,
し,ジャングルジム,,粗大ごみ,
し,ジャンピングホッパー,,粗大ごみ,
し,ジャージー(衣類),,古布,洗濯をして乾かしてから
し,重曹,,燃やすごみ,
し,じゅうたん,,粗大ごみ,畳んで50cm未満のものは燃やすごみへ
し,重箱,,燃やすごみ,
し,樹脂,,燃やすごみ,50cm以上のものは粗大ごみへ
し,受信ブースター,◎,燃やすごみ,金属製のものは小さな金属類へ
し,数珠,,燃やすごみ,珠が石製のものは燃えないごみへ
し,樹木 原木,,粗大ごみ,50cm未満のものは燃やすごみへ
し,ジョイスティック,◎,燃やすごみ,充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
し,ジョイントマット,,燃やすごみ,50㎝を超えるものは粗大ごみへ
し,定規のケース,,プラスチック製容器包装,
し,定規(木製・プラスチック製),,燃やすごみ,
し,定規(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
し,上質紙,,古紙(雑誌・その他の紙）,
し,浄水器カートリッジ,,燃やすごみ,
し,浄水器本体(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
し,浄水器本体(プラスチック製),,燃やすごみ,
し,錠前(自分で取り外したもの),,小さな金属類,
し,常夜灯(電球),,燃えないごみ,照明器具から取り外し、割れないように紙などで包んで品名を表示する
し,常夜灯(本体),,燃やすごみ,電球は燃えないごみへ
し,じょうろ,,燃やすごみ,金属製のものは小さな金属類へ
し,除湿機,,粗大ごみ,50cm未満のものは燃やすごみへ
し,除湿剤容器(プラスチック製),,プラスチック製容器包装,たまった水を捨てて。薬剤は燃やすごみへ
し,除湿シート,,燃やすごみ,
し,人工肛門,,燃やすごみ,汚物はトイレに流して
し,人工芝,,燃やすごみ,50cm以上のものは粗大ごみへ
し,人工芝マット,,粗大ごみ,折りたたんで50cm未満のものは燃やすごみへ
し,人体模型,,燃やすごみ,50㎝以上のものは粗大ごみへ
し,ジーンズ,,古布,洗濯して乾かしてから
す,水泳帽,,古布,ゴム製のものは燃やすごみへ
す,水銀血圧計,,区役所・収集事務所 または 燃えないごみ,割れないように購入時のケースまたは新聞紙等に包み、品名を表示する。 または、区役所・収集事務所にお持込ください。
す,水銀体温計・温度計,,区役所・収集事務所 または 燃えないごみ,割れないように購入時のケースまたは新聞紙等に包み、品名を表示する。または、区役所・収集事務所にお持込ください。
す,水準器,,燃やすごみ,金属製のものは小さな金属類へ
す,水槽,,粗大ごみ,50cm未満の場合、プラスチック製は燃やすごみ、ガラス製は燃えないごみへ
